Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
180,Madden NFL 2004,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
378,FIFA Soccer 2004,PS2,2003,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
471,wwe Smackdown vs. Raw 2006,PS2,2006,Fighting,,1.57,1.02,0,0.41,3
1515,Adventure,2600,1979,Adventure,Atari,1.21,0.08,0,0.01,1.3
1651,NASCAR Thunder 2003,PS2,2002,Racing,Unknown,0.6,0.46,0,0.16,1.22
2021,Donkey Kong Land III,GB,1997,Platform,Nintendo,0.68,0.31,0,0.04,1.03
2115,Air-Sea Battle,2600,1977,Shooter,Atari,0.91,0.06,0,0.01,0.98
2588,PES 2009: Pro Evolution Soccer,PSP,2008,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
3196,Monster Hunter 2,PS2,2006,Role-Playing,Capcom,0,0,0.63,0,0.63
3503,Madden NFL 2002,XB,2001,Sports,Unknown,0.53,0.02,0,0.03,0.58
3882,Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0,0.01,0.51
4153,Karate,2600,1982,Fighting,Ultravision,0.44,0.03,0,0,0.47
4380,Maze Craze: A Game of Cops 'n Robbers,2600,1980,Action,Atari,0.42,0.02,0,0,0.45
4799,NFL GameDay 2003,PS2,2002,Sports,Unknown,0.2,0.15,0,0.05,0.4
5164,NBA Live 2003,XB,2002,Sports,Electronic Arts,0.31,0.04,0,0.01,0.36
5242,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.25,0,0.05,0.36
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2006,Action,,0.15,0.05,0.14,0.01,0.35
5659,Dragster,2600,1980,Racing,Activision,0.3,0.02,0,0,0.32
5671,All-Star Baseball 2005,PS2,2005,Sports,Unknown,0.16,0.12,0,0.04,0.32
5800,Slot Machine,2600,1979,Action,Atari,0.29,0.02,0,0,0.31
5903,NBA Live 2003,GC,2002,Sports,Electronic Arts,0.23,0.06,0,0.01,0.3
6970,Jet X20,PS2,2002,Racing,Unknown,0.11,0.09,0,0.03,0.23
7371,Ghostbusters II,2600,1989,Action,Activision,0.2,0.01,0,0,0.21
7372,Breakaway IV,2600,1978,Puzzle,Sears,0.2,0.01,0,0,0.21
8762,Home Run,2600,1978,Sports,Atari,0.14,0.01,0,0,0.15
8931,All-Star Baseball 2005,XB,2004,Sports,Unknown,0.11,0.03,0,0.01,0.15
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012,Strategy,,0,0,0.12,0,0.12
9771,Saru! Get You! Million Monkeys,PS2,2006,Platform,Unknown,0,0,0.12,0,0.12
10496,Atsumare! Power Pro Kun no DS Koushien,DS,2006,Sports,,0,0,0.1,0,0.1
10760,Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Unknown,0,0,0.1,0,0.1
10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0,0,0.09,0,0.09
11333,Get Fit with Mel B,X360,2010,Sports,Black Bean Games,0,0.07,0,0.01,0.08
11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07
12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0,0,0.06,0,0.06
12924,Tour de France 2011,X360,2011,Racing,Focus Home Interactive,0,0.05,0,0.01,0.05
13280,Monster Hunter Frontier Online,PS3,2007,Role-Playing,,0,0,0.05,0,0.05
13479,RollerCoaster Tycoon,PC,1999,Strategy,Microprose,0.02,0.02,0,0.01,0.04
13674,B.L.U.E.: Legend of Water,PS,1998,Adventure,,0,0,0.04,0,0.04
13872,Sega Rally 2006,PS2,2006,Racing,Unknown,0,0,0.04,0,0.04
14057,Half-Minute Hero 2,PSP,2011,Role-Playing,Rising Star Games,0,0,0.04,0,0.04
14089,Housekeeping,DS,2006,Action,,0,0,0.04,0,0.04
14276,Beyond the Labyrinth,3DS,2012,Role-Playing,Unknown,0,0,0.03,0,0.03
14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Unknown,0,0,0.03,0,0.03
14852,Legacy of Ys: Books I & II,DS,2009,Role-Playing,Unknown,0.02,0,0,0,0.03
14879,Combat Wings: The Great Battles of WWII,Wii,2012,Simulation,City Interactive,0.02,0,0,0,0.03
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011,Adventure,,0,0,0.02,0,0.02
15000,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0,0,0.02,0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0,0,0.02,0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009,Racing,Unknown,0,0,0.02,0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,2008,Misc,Unknown,0,0,0.02,0,0.02
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
15742,Football Manager 2007,X360,2006,Sports,Sega,0,0.01,0,0,0.02
15868,PDC World Championship Darts 2008,DS,2008,Sports,Unknown,0.01,0,0,0,0.02
15903,Jet Impulse,DS,2007,Simulation,Nintendo,0,0,0.02,0,0.02
16060,PDC World Championship Darts 2008,PSP,2008,Sports,Oxygen Interactive,0.01,0,0,0,0.01
16201,AKB1/48: Idol to Guam de Koishitara...,X360,2011,Misc,,0,0,0.01,0,0.01
16232,Brothers in Arms: Furious 4,X360,0,Shooter,,0.01,0,0,0,0.01
16249,Agarest Senki: Re-appearance,PS3,2009,Role-Playing,Idea Factory,0,0,0.01,0,0.01
16369,Hakuouki: Shinsengumi Kitan,PS3,2010,Adventure,Unknown,0.01,0,0,0,0.01
