Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
180,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,False
378,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,False
432,LEGO Batman: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17,True
471,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.02,0.0,0.41,3.0,False
608,Space Invaders,2600,2009.0,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,True
625,Rock Band,X360,2007.0,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48,True
650,Frogger's Adventures: Temple of the Frog,GBA,2001.0,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,True
653,LEGO Indiana Jones: The Original Adventures,Wii,2008.0,Action,LucasArts,1.54,0.63,0.0,0.22,2.39,True
713,Call of Duty 3,Wii,2006.0,Shooter,Activision,1.19,0.84,0.0,0.23,2.26,True
784,Rock Band,Wii,2007.0,Misc,MTV Games,1.35,0.56,0.0,0.2,2.11,True
1128,Call of Duty: Black Ops,PC,2010.0,Shooter,Activision,0.58,0.81,0.0,0.24,1.63,True
1135,Rock Band,PS3,2007.0,Misc,Electronic Arts,0.99,0.41,0.0,0.22,1.62,True
1305,Triple Play 99,PS,1998.0,Sports,,0.81,0.55,0.0,0.1,1.46,True
1435,LEGO Harry Potter: Years 5-7,Wii,2011.0,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36,True
1500,LEGO Batman: The Videogame,PSP,2008.0,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32,True
1515,Adventure,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,False
1587,Combat,2600,2001.0,Action,Atari,1.17,0.07,0.0,0.01,1.25,True
1651,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,1.22,False
1699,Hitman 2: Silent Assassin,XB,2002.0,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,True
1839,Rock Band,PS2,2007.0,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,True
1992,Legacy of Kain: Soul Reaver,PS,1999.0,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,True
2021,Donkey Kong Land III,GB,,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,False
2088,LEGO Harry Potter: Years 5-7,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.51,0.39,0.0,0.09,0.99,True
2115,Air-Sea Battle,2600,,Shooter,Atari,0.91,0.06,0.0,0.01,0.98,False
2116,Suikoden III,PS2,2002.0,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,True
2136,Yakuza 4,PS3,2011.0,Action,Sega,0.15,0.14,0.63,0.05,0.97,True
2147,LEGO Harry Potter: Years 5-7,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0.0,0.16,0.97,True
2175,Wheel of Fortune,PS2,2017.0,Misc,Unknown,0.47,0.36,0.0,0.12,0.95,True
2288,Namco Museum,XB,2017.0,Misc,Unknown,0.77,0.11,0.0,0.04,0.91,True
2297,Rhythm Heaven,Wii,2009.0,Misc,Unknown,0.13,0.0,0.77,0.01,0.9,True
2417,The Lord of the Rings: War in the North,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86,True
2424,The Lord of the Rings: War in the North,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0.0,0.08,0.86,True
2486,Madden NFL 07,PSP,2006.0,Sports,Unknown,0.77,0.03,0.0,0.04,0.83,True
2499,MLB SlugFest 20-03,PS2,2002.0,Sports,Unknown,0.41,0.32,0.0,0.11,0.83,True
2530,Shaun White Snowboarding,X360,2008.0,Sports,Ubisoft,0.48,0.26,0.0,0.08,0.82,True
2588,PES 2009: Pro Evolution Soccer,PSP,,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,False
2778,Madden NFL 11,Wii,2010.0,Sports,Unknown,0.7,0.0,0.0,0.05,0.74,True
