Name,meta_score,user_review,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre
The Legend of Zelda: Ocarina of Time,99,9.1,1998,73,6.13,3.16,2.07,0.46,11.81,Action
Tony Hawk's Pro Skater 2,98,7.6,2000,206,4.49,1.88,0.02,0.23,6.62,Sports
Grand Theft Auto IV,98,7.5,2008,26,11.53,7.65,0.58,2.73,22.47,Action
SoulCalibur,98,8.3,1999,4182,0.0,0.0,0.34,0.0,0.34,Fighting
Super Mario Galaxy,97,9.1,2007,76,6.16,3.4,1.2,0.76,11.52,Platform
Super Mario Galaxy 2,97,9.1,2010,148,3.66,2.42,0.98,0.64,7.69,Platform
Tony Hawk's Pro Skater 3,97,7.8,2001,141,5.16,2.29,0.03,0.58,8.05,Sports
Perfect Dark,97,8.6,2000,760,1.55,0.75,0.16,0.06,2.52,Action
Metroid Prime,97,8.6,2002,665,1.96,0.67,0.1,0.09,2.82,Shooter
Grand Theft Auto III,97,8.3,2001,59,6.99,4.52,0.3,1.3,13.11,Action
Halo: Combat Evolved,97,8.2,2001,211,4.99,1.32,0.08,0.08,6.47,Shooter
NFL 2K1,97,6.2,2000,1910,1.02,0.05,0.0,0.02,1.09,Sports
Half-Life 2,96,8.8,2004,624,2.65,0.23,0.08,0.03,2.98,Shooter
BioShock,96,8.8,2007,354,2.41,1.74,0.06,0.51,4.69,Shooter
GoldenEye 007,96,7.8,1997,138,5.8,2.01,0.13,0.15,8.09,Shooter
Uncharted 2: Among Thieves,96,8.8,2009,198,3.27,2.25,0.21,1.0,6.73,Action
Resident Evil 4,96,8.5,2005,153,4.4,1.84,0.82,0.53,7.6,Action
The Orange Box,96,8.9,2007,605,1.37,1.24,0.02,0.42,3.05,Shooter
Batman: Arkham City,96,8.8,2011,81,6.02,3.68,0.15,1.33,11.2,Action
Tekken 3,96,9.1,1998,173,3.27,2.22,1.4,0.29,7.16,Fighting
Mass Effect 2,96,8.8,2010,322,2.78,1.61,0.06,0.54,4.99,Role-Playing
The Legend of Zelda: Twilight Princess,96,9.0,2006,116,4.98,2.55,0.64,0.74,8.9,Action
The Elder Scrolls V: Skyrim,96,8.0,2011,32,8.73,7.66,0.35,2.54,19.28,Role-Playing
Metal Gear Solid 2: Sons of Liberty,96,8.8,2001,240,2.45,2.01,0.87,0.72,6.05,Action
Grand Theft Auto: San Andreas,95,8.9,2004,20,10.77,1.96,0.41,10.72,23.86,Action
Grand Theft Auto: Vice City,95,8.8,2002,41,8.41,5.52,0.47,1.79,16.19,Action
LittleBigPlanet,95,7.3,2008,125,3.44,3.29,0.18,1.59,8.5,Platform
Red Dead Redemption,95,9.0,2010,62,6.49,4.58,0.26,1.6,12.94,Action
Gran Turismo 3: A-Spec,95,8.4,2001,49,6.85,5.09,1.87,1.16,14.98,Racing
Halo 2,95,7.4,2004,122,6.83,1.59,0.05,0.1,8.59,Shooter
The Legend of Zelda: Majora's Mask,95,9.1,2000,538,1.9,0.67,0.73,0.06,3.36,Action
The Last of Us,95,9.2,2013,90,4.19,4.15,0.35,1.83,10.54,Action
Madden NFL 2003,95,7.4,2002,249,4.8,0.48,0.01,0.61,5.89,Sports
Portal 2,95,8.9,2011,360,2.57,1.46,0.03,0.53,4.6,Shooter
Metal Gear Solid V: The Phantom Pain,95,7.8,2015,317,1.78,1.94,0.71,0.63,5.08,Action
World of Goo,94,8.3,2008,9530,0.0,0.03,0.0,0.01,0.04,Puzzle
